stage,track_id,split,predicted_label,crop_path,frame_confidence,total_frames_available,true_label
broad,2257,train,Goods 3 Wheeler,broad/train/_unlabeled/track_002257.jpg,0.8202,21,
broad,2258,test,Tractor,broad/test/_unlabeled/track_002258.jpg,0.5752,1,
broad,2259,train,Goods 3 Wheeler,broad/train/_unlabeled/track_002259.jpg,0.7453,3,
broad,2260,train,Goods 3 Wheeler,broad/train/_unlabeled/track_002260.jpg,0.8408,11,
broad,2264,train,Tractor,broad/train/_unlabeled/track_002264.jpg,0.7418,7,
broad,2266,test,Tractor,broad/test/_unlabeled/track_002266.jpg,0.7692,43,
broad,2273,train,Goods 3 Wheeler,broad/train/_unlabeled/track_002273.jpg,0.8333,53,
broad,2274,test,Tractor,broad/test/_unlabeled/track_002274.jpg,0.8455,29,
broad,2275,train,Tractor,broad/train/_unlabeled/track_002275.jpg,0.8525,31,
broad,2276,train,Tractor,broad/train/_unlabeled/track_002276.jpg,0.8257,30,
broad,2279,train,Tractor,broad/train/_unlabeled/track_002279.jpg,0.8576,35,
broad,2298,test,Tractor,broad/test/goods_3_wheeler/track_002298.jpg,0.7333,2,Goods 3 Wheeler
broad,2299,train,Tractor,broad/train/goods_3_wheeler/track_002299.jpg,0.6962,2,Goods 3 Wheeler
broad,2321,test,Goods 3 Wheeler,broad/test/_unlabeled/track_002321.jpg,0.8085,30,
broad,2322,train,Tractor,broad/train/_unlabeled/track_002322.jpg,0.7424,8,
broad,2325,train,Goods 3 Wheeler,broad/train/_unlabeled/track_002325.jpg,0.6779,3,
broad,2338,test,Goods 3 Wheeler,broad/test/_unlabeled/track_002338.jpg,0.8616,34,
broad,2340,test,Tractor,broad/test/_unlabeled/track_002340.jpg,0.8754,5,
broad,2345,train,Tractor,broad/train/_unlabeled/track_002345.jpg,0.8324,5,
broad,2346,train,Tractor,broad/train/_unlabeled/track_002346.jpg,0.6478,5,
broad,2348,test,Goods 3 Wheeler,broad/test/_unlabeled/track_002348.jpg,0.5306,4,
broad,2372,test,Tractor,broad/test/_unlabeled/track_002372.jpg,0.7153,7,
broad,2373,train,Tractor,broad/train/_unlabeled/track_002373.jpg,0.743,7,
broad,2374,train,Tractor,broad/train/_unlabeled/track_002374.jpg,0.7788,7,
broad,2376,val,Goods 3 Wheeler,broad/val/_unlabeled/track_002376.jpg,0.7321,3,
broad,2377,train,Goods 3 Wheeler,broad/train/_unlabeled/track_002377.jpg,0.8765,17,
broad,2383,train,Goods 3 Wheeler,broad/train/_unlabeled/track_002383.jpg,0.7904,3,
broad,2384,train,Goods 3 Wheeler,broad/train/_unlabeled/track_002384.jpg,0.82,9,
broad,2386,train,Goods 3 Wheeler,broad/train/_unlabeled/track_002386.jpg,0.6806,8,
broad,2387,train,Tractor,broad/train/_unlabeled/track_002387.jpg,0.7334,10,
broad,2393,test,Goods 3 Wheeler,broad/test/_unlabeled/track_002393.jpg,0.9088,54,
broad,2394,train,Goods 3 Wheeler,broad/train/_unlabeled/track_002394.jpg,0.8478,11,
broad,2395,val,Tractor,broad/val/_unlabeled/track_002395.jpg,0.7798,7,
broad,2397,val,Tractor,broad/val/_unlabeled/track_002397.jpg,0.853,5,
broad,2399,train,Goods 3 Wheeler,broad/train/_unlabeled/track_002399.jpg,0.6159,2,
broad,2502,train,Goods 3 Wheeler,broad/train/_unlabeled/track_002502.jpg,0.8687,24,
broad,2503,train,Goods 3 Wheeler,broad/train/_unlabeled/track_002503.jpg,0.9333,112,
broad,2505,train,Tractor,broad/train/_unlabeled/track_002505.jpg,0.8552,11,
broad,2508,val,Tractor,broad/val/_unlabeled/track_002508.jpg,0.8749,14,
broad,2511,train,Tractor,broad/train/_unlabeled/track_002511.jpg,0.8728,11,
broad,2590,train,Tractor,broad/train/_unlabeled/track_002590.jpg,0.8113,15,
broad,2591,val,Tractor,broad/val/_unlabeled/track_002591.jpg,0.7262,6,
broad,2604,train,Tractor,broad/train/_unlabeled/track_002604.jpg,0.831,33,
broad,2605,train,Tractor,broad/train/_unlabeled/track_002605.jpg,0.8606,11,
broad,2606,train,Tractor,broad/train/_unlabeled/track_002606.jpg,0.886,11,
broad,2607,train,Tractor,broad/train/_unlabeled/track_002607.jpg,0.8806,8,
broad,2609,train,Goods 3 Wheeler,broad/train/_unlabeled/track_002609.jpg,0.9087,7,
broad,2620,train,Tractor,broad/train/_unlabeled/track_002620.jpg,0.5523,1,
broad,2621,train,Tractor,broad/train/_unlabeled/track_002621.jpg,0.902,21,
broad,2622,train,Tractor,broad/train/_unlabeled/track_002622.jpg,0.8321,13,
broad,2623,train,Tractor,broad/train/_unlabeled/track_002623.jpg,0.8758,20,
broad,2625,train,Tractor,broad/train/_unlabeled/track_002625.jpg,0.8912,16,
broad,2627,train,Tractor,broad/train/_unlabeled/track_002627.jpg,0.9245,112,
broad,2707,val,Goods 3 Wheeler,broad/val/_unlabeled/track_002707.jpg,0.8789,56,
broad,2708,train,Tractor,broad/train/_unlabeled/track_002708.jpg,0.8564,22,
broad,2709,test,Tractor,broad/test/_unlabeled/track_002709.jpg,0.8386,21,
broad,2711,train,Tractor,broad/train/_unlabeled/track_002711.jpg,0.8986,22,
broad,2733,train,Tractor,broad/train/_unlabeled/track_002733.jpg,0.8535,10,
broad,2734,train,Tractor,broad/train/_unlabeled/track_002734.jpg,0.7988,10,
broad,2735,train,Tractor,broad/train/_unlabeled/track_002735.jpg,0.7605,5,
broad,2736,train,Tractor,broad/train/_unlabeled/track_002736.jpg,0.8367,4,
broad,2737,train,Goods 3 Wheeler,broad/train/_unlabeled/track_002737.jpg,0.8023,37,
broad,2742,val,Tractor,broad/val/_unlabeled/track_002742.jpg,0.8326,6,
broad,2743,train,Tractor,broad/train/_unlabeled/track_002743.jpg,0.798,7,
broad,2745,train,Tractor,broad/train/_unlabeled/track_002745.jpg,0.7936,7,
broad,2746,train,Tractor,broad/train/_unlabeled/track_002746.jpg,0.8873,30,
broad,2749,train,Goods 3 Wheeler,broad/train/_unlabeled/track_002749.jpg,0.6243,1,
broad,2750,test,Mini LCV,broad/test/_unlabeled/track_002750.jpg,0.6155,2,
broad,2754,train,Tractor,broad/train/_unlabeled/track_002754.jpg,0.6239,1,
broad,2755,val,Tractor,broad/val/_unlabeled/track_002755.jpg,0.8064,25,
broad,2756,train,Tractor,broad/train/_unlabeled/track_002756.jpg,0.5142,1,
broad,2781,train,Tractor,broad/train/_unlabeled/track_002781.jpg,0.7419,9,
broad,2790,train,Goods 3 Wheeler,broad/train/goods_3_wheeler/track_002790.jpg,0.584,2,Goods 3 Wheeler
broad,2791,train,Goods 3 Wheeler,broad/train/goods_3_wheeler/track_002791.jpg,0.5179,3,Goods 3 Wheeler
broad,2833,train,Goods 3 Wheeler,broad/train/_unlabeled/track_002833.jpg,0.6137,2,
broad,2836,train,Tractor,broad/train/_unlabeled/track_002836.jpg,0.8897,17,
broad,2838,train,Tractor,broad/train/_unlabeled/track_002838.jpg,0.9034,17,
broad,2840,train,Tractor,broad/train/_unlabeled/track_002840.jpg,0.8569,13,
broad,2841,train,Tractor,broad/train/_unlabeled/track_002841.jpg,0.9029,25,
broad,2855,test,Tractor,broad/test/_unlabeled/track_002855.jpg,0.5759,3,
broad,2857,train,Tractor,broad/train/_unlabeled/track_002857.jpg,0.5912,1,
broad,2858,val,Tractor,broad/val/_unlabeled/track_002858.jpg,0.7131,60,
broad,2861,test,Tractor,broad/test/_unlabeled/track_002861.jpg,0.752,9,
broad,2863,train,Tractor,broad/train/_unlabeled/track_002863.jpg,0.6498,8,
broad,2884,train,Tractor,broad/train/_unlabeled/track_002884.jpg,0.7387,4,
broad,2885,train,Tractor,broad/train/_unlabeled/track_002885.jpg,0.6615,2,
broad,2888,train,Tractor,broad/train/_unlabeled/track_002888.jpg,0.5005,1,
broad,2953,train,Tractor,broad/train/_unlabeled/track_002953.jpg,0.8901,12,
broad,2954,train,Tractor,broad/train/_unlabeled/track_002954.jpg,0.9266,47,
broad,2956,train,Tractor,broad/train/_unlabeled/track_002956.jpg,0.8911,8,
broad,2957,val,Tractor,broad/val/_unlabeled/track_002957.jpg,0.8764,7,
broad,2959,train,Tractor,broad/train/_unlabeled/track_002959.jpg,0.8917,7,
broad,2965,test,Goods 3 Wheeler,broad/test/goods_3_wheeler/track_002965.jpg,0.7101,1,Goods 3 Wheeler
broad,2967,train,Tractor,broad/train/goods_3_wheeler/track_002967.jpg,0.7386,4,Goods 3 Wheeler
broad,2968,train,Tractor,broad/train/goods_3_wheeler/track_002968.jpg,0.8892,65,Goods 3 Wheeler
broad,2969,train,Tractor,broad/train/goods_3_wheeler/track_002969.jpg,0.635,2,Goods 3 Wheeler
broad,2994,test,Tractor,broad/test/_unlabeled/track_002994.jpg,0.8779,24,
broad,2998,train,Tractor,broad/train/_unlabeled/track_002998.jpg,0.8802,22,
broad,2999,train,Tractor,broad/train/_unlabeled/track_002999.jpg,0.8439,11,
broad,3000,train,Goods 3 Wheeler,broad/train/_unlabeled/track_003000.jpg,0.9249,103,
broad,3001,train,Tractor,broad/train/_unlabeled/track_003001.jpg,0.8736,8,
broad,3036,test,Tractor,broad/test/_unlabeled/track_003036.jpg,0.8723,62,
broad,3037,val,Tractor,broad/val/_unlabeled/track_003037.jpg,0.8607,11,
broad,3038,test,Tractor,broad/test/_unlabeled/track_003038.jpg,0.8894,11,
broad,3039,train,Tractor,broad/train/_unlabeled/track_003039.jpg,0.8922,13,
broad,3086,train,Tractor,broad/train/_unlabeled/track_003086.jpg,0.8341,8,
broad,3090,test,Goods 3 Wheeler,broad/test/_unlabeled/track_003090.jpg,0.8418,46,
broad,3091,train,Tractor,broad/train/_unlabeled/track_003091.jpg,0.8828,8,
broad,3093,test,Tractor,broad/test/_unlabeled/track_003093.jpg,0.8322,5,
broad,3094,train,Tractor,broad/train/_unlabeled/track_003094.jpg,0.8009,7,
broad,3113,train,Goods 3 Wheeler,broad/train/_unlabeled/track_003113.jpg,0.7797,27,
broad,3116,train,Goods 3 Wheeler,broad/train/_unlabeled/track_003116.jpg,0.6208,2,
broad,3119,train,Tractor,broad/train/_unlabeled/track_003119.jpg,0.7638,26,
broad,3120,test,Tractor,broad/test/_unlabeled/track_003120.jpg,0.9107,66,
broad,3122,val,Tractor,broad/val/_unlabeled/track_003122.jpg,0.8027,77,
broad,3129,test,Tractor,broad/test/_unlabeled/track_003129.jpg,0.8158,76,
broad,3130,train,Tractor,broad/train/_unlabeled/track_003130.jpg,0.8644,74,
broad,3131,train,Tractor,broad/train/_unlabeled/track_003131.jpg,0.7649,21,
broad,3160,val,Tractor,broad/val/_unlabeled/track_003160.jpg,0.9152,23,
broad,3161,test,Mini LCV,broad/test/goods_3_wheeler/track_003161.jpg,0.7172,13,Goods 3 Wheeler
broad,3162,train,Tractor,broad/train/_unlabeled/track_003162.jpg,0.8961,56,
broad,3165,train,Goods 3 Wheeler,broad/train/_unlabeled/track_003165.jpg,0.9142,24,
lcv,205,test,Mini LCV,lcv/test/_unlabeled/track_000205.jpg,0.4899,3,
lcv,826,test,Mini LCV,lcv/test/_unlabeled/track_000826.jpg,0.852,29,
lcv,1324,test,Mini LCV,lcv/test/goods_3_wheeler/track_001324.jpg,0.5292,1,Goods 3 Wheeler
lcv,1571,train,LCV,lcv/train/_unlabeled/track_001571.jpg,0.5535,7,
lcv,1696,test,Mini LCV,lcv/test/goods_3_wheeler/track_001696.jpg,0.9119,23,Goods 3 Wheeler
lcv,1742,test,Mini LCV,lcv/test/_unlabeled/track_001742.jpg,0.9245,189,
lcv,1848,train,Mini LCV,lcv/train/goods_3_wheeler/track_001848.jpg,0.7282,13,Goods 3 Wheeler
lcv,2750,test,Mini LCV,lcv/test/_unlabeled/track_002750.jpg,0.6155,2,
lcv,3161,test,Mini LCV,lcv/test/goods_3_wheeler/track_003161.jpg,0.7172,13,Goods 3 Wheeler
heavy,121,train,3 Axle Truck,heavy/train/_unlabeled/track_000121.jpg,0.8662,17,
